column_a,code,browser,cldr_short_name
307,U+1F469 U+1F3FB U+200D U+1F3A4,👩🏻‍🎤,woman singer: light skin tone
308,U+1F469 U+1F3FC U+200D U+1F3A4,👩🏼‍🎤,woman singer: medium-light skin tone
309,U+1F469 U+1F3FD U+200D U+1F3A4,👩🏽‍🎤,woman singer: medium skin tone
310,U+1F469 U+1F3FE U+200D U+1F3A4,👩🏾‍🎤,woman singer: medium-dark skin tone
311,U+1F469 U+1F3FF U+200D U+1F3A4,👩🏿‍🎤,woman singer: dark skin tone
312,U+1F468 U+200D U+1F3A8,👨‍🎨,man artist
313,U+1F468 U+1F3FB U+200D U+1F3A8,👨🏻‍🎨,man artist: light skin tone
314,U+1F468 U+1F3FC U+200D U+1F3A8,👨🏼‍🎨,man artist: medium-light skin tone
315,U+1F468 U+1F3FD U+200D U+1F3A8,👨🏽‍🎨,man artist: medium skin tone
316,U+1F468 U+1F3FE U+200D U+1F3A8,👨🏾‍🎨,man artist: medium-dark skin tone
317,U+1F468 U+1F3FF U+200D U+1F3A8,👨🏿‍🎨,man artist: dark skin tone
318,U+1F469 U+200D U+1F3A8,👩‍🎨,woman artist
319,U+1F469 U+1F3FB U+200D U+1F3A8,👩🏻‍🎨,woman artist: light skin tone
320,U+1F469 U+1F3FC U+200D U+1F3A8,👩🏼‍🎨,woman artist: medium-light skin tone
321,U+1F469 U+1F3FD U+200D U+1F3A8,👩🏽‍🎨,woman artist: medium skin tone
322,U+1F469 U+1F3FE U+200D U+1F3A8,👩🏾‍🎨,woman artist: medium-dark skin tone
323,U+1F469 U+1F3FF U+200D U+1F3A8,👩🏿‍🎨,woman artist: dark skin tone
324,U+1F468 U+200D U+2708 U+FE0F,👨‍✈️,man pilot
325,U+1F468 U+1F3FB U+200D U+2708 U+FE0F,👨🏻‍✈️,man pilot: light skin tone
326,U+1F468 U+1F3FC U+200D U+2708 U+FE0F,👨🏼‍✈️,man pilot: medium-light skin tone
327,U+1F468 U+1F3FD U+200D U+2708 U+FE0F,👨🏽‍✈️,man pilot: medium skin tone
328,U+1F468 U+1F3FE U+200D U+2708 U+FE0F,👨🏾‍✈️,man pilot: medium-dark skin tone
329,U+1F468 U+1F3FF U+200D U+2708 U+FE0F,👨🏿‍✈️,man pilot: dark skin tone
330,U+1F469 U+200D U+2708 U+FE0F,👩‍✈️,woman pilot
331,U+1F469 U+1F3FB U+200D U+2708 U+FE0F,👩🏻‍✈️,woman pilot: light skin tone
332,U+1F469 U+1F3FC U+200D U+2708 U+FE0F,👩🏼‍✈️,woman pilot: medium-light skin tone
333,U+1F469 U+1F3FD U+200D U+2708 U+FE0F,👩🏽‍✈️,woman pilot: medium skin tone
334,U+1F469 U+1F3FE U+200D U+2708 U+FE0F,👩🏾‍✈️,woman pilot: medium-dark skin tone
335,U+1F469 U+1F3FF U+200D U+2708 U+FE0F,👩🏿‍✈️,woman pilot: dark skin tone
336,U+1F468 U+200D U+1F680,👨‍🚀,man astronaut
337,U+1F468 U+1F3FB U+200D U+1F680,👨🏻‍🚀,man astronaut: light skin tone
338,U+1F468 U+1F3FC U+200D U+1F680,👨🏼‍🚀,man astronaut: medium-light skin tone
339,U+1F468 U+1F3FD U+200D U+1F680,👨🏽‍🚀,man astronaut: medium skin tone
340,U+1F468 U+1F3FE U+200D U+1F680,👨🏾‍🚀,man astronaut: medium-dark skin tone
341,U+1F468 U+1F3FF U+200D U+1F680,👨🏿‍🚀,man astronaut: dark skin tone
342,U+1F469 U+200D U+1F680,👩‍🚀,woman astronaut
343,U+1F469 U+1F3FB U+200D U+1F680,👩🏻‍🚀,woman astronaut: light skin tone
