column_a,code,browser,cldr_short_name
1134,U+1F938 U+1F3FC U+200D U+2640 U+FE0F,🤸🏼‍♀️,woman cartwheeling: medium-light skin tone
1135,U+1F938 U+1F3FD U+200D U+2640 U+FE0F,🤸🏽‍♀️,woman cartwheeling: medium skin tone
1136,U+1F938 U+1F3FE U+200D U+2640 U+FE0F,🤸🏾‍♀️,woman cartwheeling: medium-dark skin tone
1137,U+1F938 U+1F3FF U+200D U+2640 U+FE0F,🤸🏿‍♀️,woman cartwheeling: dark skin tone
1138,U+1F93C,🤼,people wrestling
1139,U+1F93C U+200D U+2642 U+FE0F,🤼‍♂️,men wrestling
1140,U+1F93C U+200D U+2640 U+FE0F,🤼‍♀️,women wrestling
1141,U+1F93D,🤽,person playing water polo
1142,U+1F93D U+1F3FB,🤽🏻,person playing water polo: light skin tone
1143,U+1F93D U+1F3FC,🤽🏼,person playing water polo: medium-light skin tone
1144,U+1F93D U+1F3FD,🤽🏽,person playing water polo: medium skin tone
1145,U+1F93D U+1F3FE,🤽🏾,person playing water polo: medium-dark skin tone
1146,U+1F93D U+1F3FF,🤽🏿,person playing water polo: dark skin tone
1147,U+1F93D U+200D U+2642 U+FE0F,🤽‍♂️,man playing water polo
1148,U+1F93D U+1F3FB U+200D U+2642 U+FE0F,🤽🏻‍♂️,man playing water polo: light skin tone
1149,U+1F93D U+1F3FC U+200D U+2642 U+FE0F,🤽🏼‍♂️,man playing water polo: medium-light skin tone
1150,U+1F93D U+1F3FD U+200D U+2642 U+FE0F,🤽🏽‍♂️,man playing water polo: medium skin tone
1151,U+1F93D U+1F3FE U+200D U+2642 U+FE0F,🤽🏾‍♂️,man playing water polo: medium-dark skin tone
1152,U+1F93D U+1F3FF U+200D U+2642 U+FE0F,🤽🏿‍♂️,man playing water polo: dark skin tone
1153,U+1F93D U+200D U+2640 U+FE0F,🤽‍♀️,woman playing water polo
1154,U+1F93D U+1F3FB U+200D U+2640 U+FE0F,🤽🏻‍♀️,woman playing water polo: light skin tone
1155,U+1F93D U+1F3FC U+200D U+2640 U+FE0F,🤽🏼‍♀️,woman playing water polo: medium-light skin tone
1156,U+1F93D U+1F3FD U+200D U+2640 U+FE0F,🤽🏽‍♀️,woman playing water polo: medium skin tone
1157,U+1F93D U+1F3FE U+200D U+2640 U+FE0F,🤽🏾‍♀️,woman playing water polo: medium-dark skin tone
1158,U+1F93D U+1F3FF U+200D U+2640 U+FE0F,🤽🏿‍♀️,woman playing water polo: dark skin tone
1159,U+1F93E,🤾,person playing handball
1160,U+1F93E U+1F3FB,🤾🏻,person playing handball: light skin tone
1161,U+1F93E U+1F3FC,🤾🏼,person playing handball: medium-light skin tone
1162,U+1F93E U+1F3FD,🤾🏽,person playing handball: medium skin tone
1163,U+1F93E U+1F3FE,🤾🏾,person playing handball: medium-dark skin tone
1164,U+1F93E U+1F3FF,🤾🏿,person playing handball: dark skin tone
